corpus,pool_dir,file,trace,instance_id,model,metadata_instance_id,n_llm,n_tool,peak_prompt_tokens,sum_prompt_tokens,sum_completion_tokens,llm_s,tool_s,wall_s,bucket
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__beeware__briefcase-1390.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__beeware__briefcase-1390.trace.jsonl,beeware__briefcase-1390,qwen3.7-max,,45,44,40508,814928,5093,182.5,44.4,227.3,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__beeware__briefcase-1785.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__beeware__briefcase-1785.trace.jsonl,beeware__briefcase-1785,qwen3.7-max,,40,41,29844,615057,6177,185.0,26.7,212.0,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__beeware__briefcase-2075.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__beeware__briefcase-2075.trace.jsonl,beeware__briefcase-2075,qwen3.7-max,,25,27,19287,310322,3684,110.6,10.2,121.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__beeware__briefcase-710.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__beeware__briefcase-710.trace.jsonl,beeware__briefcase-710,qwen3.7-max,,43,42,24562,504895,5812,175.9,22.5,198.7,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__berkerpeksag__astor-114.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__berkerpeksag__astor-114.trace.jsonl,berkerpeksag__astor-114,qwen3.7-max,,30,29,22740,383616,5457,153.1,4.1,157.5,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__bids-standard__pybids-488.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__bids-standard__pybids-488.trace.jsonl,bids-standard__pybids-488,qwen3.7-max,,34,35,32061,651735,7111,204.0,357.9,562.3,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__borgbackup__borg-6528.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__borgbackup__borg-6528.trace.jsonl,borgbackup__borg-6528,qwen3.7-max,,69,68,41087,1452760,22493,552.3,62.7,615.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__briancurtin__deprecation-37.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__briancurtin__deprecation-37.trace.jsonl,briancurtin__deprecation-37,qwen3.7-max,,28,27,16433,323548,3204,107.6,12.5,120.4,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__brightway-lca__brightway2-data-235.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__brightway-lca__brightway2-data-235.trace.jsonl,brightway-lca__brightway2-data-235,qwen3.7-max,,20,21,11537,154365,2843,79.4,44.9,124.4,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__broadinstitute__cromshell-203.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__broadinstitute__cromshell-203.trace.jsonl,broadinstitute__cromshell-203,qwen3.7-max,,44,56,47108,1261615,6425,859.1,16.5,876.1,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__bvanelli__actualpy-117.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__bvanelli__actualpy-117.trace.jsonl,bvanelli__actualpy-117,qwen3.7-max,,39,38,25545,597244,4864,155.3,37.9,193.6,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__bvanelli__actualpy-47.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__bvanelli__actualpy-47.trace.jsonl,bvanelli__actualpy-47,qwen3.7-max,,41,41,36798,842684,9916,273.6,29.0,303.0,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__canonical__charmcraft-2042.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__canonical__charmcraft-2042.trace.jsonl,canonical__charmcraft-2042,qwen3.7-max,,65,64,37454,1132811,10560,336.2,158.9,495.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__canonical__charmcraft-917.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__canonical__charmcraft-917.trace.jsonl,canonical__charmcraft-917,qwen3.7-max,,37,36,23640,468754,3877,147.0,64.8,212.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__canonical__operator-1000.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__canonical__operator-1000.trace.jsonl,canonical__operator-1000,qwen3.7-max,,31,30,13958,280950,3154,107.0,62.8,170.0,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__capsulecorplab__mindgraph-22.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__capsulecorplab__mindgraph-22.trace.jsonl,capsulecorplab__mindgraph-22,qwen3.7-max,,22,26,28399,342088,6172,156.3,11.6,168.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__catalystneuro__neuroconv-679.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__catalystneuro__neuroconv-679.trace.jsonl,catalystneuro__neuroconv-679,qwen3.7-max,,82,84,47572,2166531,16910,1147.4,40.1,1188.5,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__cekit__cekit-877.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__cekit__cekit-877.trace.jsonl,cekit__cekit-877,qwen3.7-max,,35,34,22134,383764,4204,134.0,14.5,148.8,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__cleder__fastkml-226.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__cleder__fastkml-226.trace.jsonl,cleder__fastkml-226,qwen3.7-max,,34,33,27836,564808,4084,134.4,15.5,150.2,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__cloud-custodian__cloud-custodian-5472.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__cloud-custodian__cloud-custodian-5472.trace.jsonl,cloud-custodian__cloud-custodian-5472,qwen3.7-max,,69,68,57339,2049768,17410,491.7,554.1,1047.1,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__codesankalp__dsalgo-9.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__codesankalp__dsalgo-9.trace.jsonl,codesankalp__dsalgo-9,qwen3.7-max,,22,25,23550,237717,7303,168.0,12.9,181.0,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__conan-io__conan-14443.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__conan-io__conan-14443.trace.jsonl,conan-io__conan-14443,qwen3.7-max,,42,47,34437,977780,9642,263.7,94.8,359.1,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__conan-io__conan-15422.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__conan-io__conan-15422.trace.jsonl,conan-io__conan-15422,qwen3.7-max,,61,67,36693,1261062,10730,323.3,48.9,372.9,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__conan-io__conan-2883.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__conan-io__conan-2883.trace.jsonl,conan-io__conan-2883,qwen3.7-max,,91,90,64649,3046963,26122,1348.2,0.6,1350.7,>=64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__conan-io__conan-3477.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__conan-io__conan-3477.trace.jsonl,conan-io__conan-3477,qwen3.7-max,,62,63,32963,1110372,6728,231.5,36.0,268.1,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__conan-io__conan-3841.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__conan-io__conan-3841.trace.jsonl,conan-io__conan-3841,qwen3.7-max,,46,45,25332,663343,6493,196.4,11.8,208.6,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__cosmicBboy__pandera-64.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__cosmicBboy__pandera-64.trace.jsonl,cosmicBboy__pandera-64,qwen3.7-max,,25,24,12329,193587,3549,101.0,5.7,106.8,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__coverahealth__dataspec-30.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__coverahealth__dataspec-30.trace.jsonl,coverahealth__dataspec-30,qwen3.7-max,,59,59,56508,1574540,19662,521.9,18.9,541.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__cpplint__cpplint-288.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__cpplint__cpplint-288.trace.jsonl,cpplint__cpplint-288,qwen3.7-max,,39,38,24055,510117,5429,160.6,21.2,182.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__creare-com__podpac-221.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__creare-com__podpac-221.trace.jsonl,creare-com__podpac-221,qwen3.7-max,,97,96,74517,3721710,15734,594.0,123.9,719.8,>=64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__da4089__simplefix-17.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__da4089__simplefix-17.trace.jsonl,da4089__simplefix-17,qwen3.7-max,,17,17,26815,262484,8412,192.7,0.1,193.0,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__dag-hammarskjold-library__dlx-524.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__dag-hammarskjold-library__dlx-524.trace.jsonl,dag-hammarskjold-library__dlx-524,qwen3.7-max,,50,49,23049,624240,7741,216.5,37.5,254.5,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__dandi__dandi-cli-582.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__dandi__dandi-cli-582.trace.jsonl,dandi__dandi-cli-582,qwen3.7-max,,36,49,23255,402175,7541,196.6,9.2,206.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__dapr__python-sdk-692.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__dapr__python-sdk-692.trace.jsonl,dapr__python-sdk-692,qwen3.7-max,,28,30,25175,379377,4417,136.1,205.6,342.0,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__dask__dask-11393.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__dask__dask-11393.trace.jsonl,dask__dask-11393,qwen3.7-max,,20,19,11512,131683,2975,94.4,263.4,357.9,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__dask__dask-11725.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__dask__dask-11725.trace.jsonl,dask__dask-11725,qwen3.7-max,,53,52,43110,1072809,8229,279.8,153.3,433.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__dask__dask-3944.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__dask__dask-3944.trace.jsonl,dask__dask-3944,qwen3.7-max,,45,44,35047,986339,9706,268.3,85.8,354.7,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__dask__dask-ml-659.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__dask__dask-ml-659.trace.jsonl,dask__dask-ml-659,qwen3.7-max,,72,74,33930,1199577,12668,385.8,139.3,525.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__deepset-ai__haystack-6776.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__deepset-ai__haystack-6776.trace.jsonl,deepset-ai__haystack-6776,qwen3.7-max,,32,34,34967,703564,6008,178.8,59.1,238.3,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__deepset-ai__haystack-8549.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__deepset-ai__haystack-8549.trace.jsonl,deepset-ai__haystack-8549,qwen3.7-max,,20,20,14016,194981,3239,91.9,7.6,99.6,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__deepset-ai__haystack-8879.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__deepset-ai__haystack-8879.trace.jsonl,deepset-ai__haystack-8879,qwen3.7-max,,58,57,50656,1247315,14053,400.1,55.3,456.2,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__docker__docker-py-3200.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__docker__docker-py-3200.trace.jsonl,docker__docker-py-3200,qwen3.7-max,,46,45,20692,488301,4383,155.1,28.8,184.3,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__dpkp__kafka-python-1320.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__dpkp__kafka-python-1320.trace.jsonl,dpkp__kafka-python-1320,qwen3.7-max,,51,50,19367,589399,6366,208.2,10.1,218.7,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__dwavesystems__dimod-331.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__dwavesystems__dimod-331.trace.jsonl,dwavesystems__dimod-331,qwen3.7-max,,56,55,31517,991761,9028,273.8,26.7,301.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__elcaminoreal__elcaminoreal-10.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__elcaminoreal__elcaminoreal-10.trace.jsonl,elcaminoreal__elcaminoreal-10,qwen3.7-max,,51,51,37358,932319,12760,335.8,17.6,354.0,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__encode__httpx-2354.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__encode__httpx-2354.trace.jsonl,encode__httpx-2354,qwen3.7-max,,71,72,49408,1901490,15888,552.3,41.9,595.2,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__encode__httpx-237.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__encode__httpx-237.trace.jsonl,encode__httpx-237,qwen3.7-max,,37,42,28622,531259,7085,201.1,26.8,228.2,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__encode__httpx-653.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__encode__httpx-653.trace.jsonl,encode__httpx-653,qwen3.7-max,,44,43,40447,826046,5710,199.6,41.7,241.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__encode__uvicorn-1706.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__encode__uvicorn-1706.trace.jsonl,encode__uvicorn-1706,qwen3.7-max,,60,67,42339,1445617,11081,351.8,29.6,382.2,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__ethereum__web3.py-3469.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__ethereum__web3.py-3469.trace.jsonl,ethereum__web3.py-3469,qwen3.7-max,,36,36,30659,655529,5023,164.1,48.8,213.3,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__facelessuser__pymdown-extensions-2039.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__facelessuser__pymdown-extensions-2039.trace.jsonl,facelessuser__pymdown-extensions-2039,qwen3.7-max,,53,52,31775,912304,11413,307.1,8.7,316.4,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__facelessuser__wcmatch-223.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__facelessuser__wcmatch-223.trace.jsonl,facelessuser__wcmatch-223,qwen3.7-max,,56,55,54356,1896738,17282,502.3,17.6,520.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__feder-observatory__stellarphot-470.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__feder-observatory__stellarphot-470.trace.jsonl,feder-observatory__stellarphot-470,qwen3.7-max,,51,52,47410,1391199,9896,314.4,157.2,472.3,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__fjosw__pyerrors-112.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__fjosw__pyerrors-112.trace.jsonl,fjosw__pyerrors-112,qwen3.7-max,,38,37,20819,369835,5240,151.0,25.6,176.9,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__fsspec__filesystem_spec-1358.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__fsspec__filesystem_spec-1358.trace.jsonl,fsspec__filesystem_spec-1358,qwen3.7-max,,63,66,28587,1059818,10173,302.9,12.6,316.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__fsspec__filesystem_spec-1516.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__fsspec__filesystem_spec-1516.trace.jsonl,fsspec__filesystem_spec-1516,qwen3.7-max,,81,80,50160,2165893,17795,530.8,2.1,534.0,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__fzakaria__nix-auto-follow-21.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__fzakaria__nix-auto-follow-21.trace.jsonl,fzakaria__nix-auto-follow-21,qwen3.7-max,,24,23,20804,296647,5526,138.4,15.4,154.0,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__gerbenoostra__poetry-plugin-mono-repo-deps-24.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__gerbenoostra__poetry-plugin-mono-repo-deps-24.trace.jsonl,gerbenoostra__poetry-plugin-mono-repo-deps-24,qwen3.7-max,,67,70,64225,2515911,13830,449.0,88.5,538.8,>=64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__getsentry__sentry-python-1053.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__getsentry__sentry-python-1053.trace.jsonl,getsentry__sentry-python-1053,qwen3.7-max,,36,35,16065,353132,5317,158.7,17.5,176.5,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__googleapis__google-auth-library-python-1243.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__googleapis__google-auth-library-python-1243.trace.jsonl,googleapis__google-auth-library-python-1243,qwen3.7-max,,28,28,18165,319663,3757,121.5,57.2,178.9,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__googleapis__python-pubsub-787.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__googleapis__python-pubsub-787.trace.jsonl,googleapis__python-pubsub-787,qwen3.7-max,,67,67,45409,1740277,12139,379.8,30.7,411.5,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__gristlabs__asttokens-37.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__gristlabs__asttokens-37.trace.jsonl,gristlabs__asttokens-37,qwen3.7-max,,67,69,43797,1859324,14681,1071.3,18.1,1090.5,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__hgrecco__pint-1361.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__hgrecco__pint-1361.trace.jsonl,hgrecco__pint-1361,qwen3.7-max,,18,17,7365,84874,2644,76.2,24.5,100.8,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__hhm970__c10-games-tracker-project-97.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__hhm970__c10-games-tracker-project-97.trace.jsonl,hhm970__c10-games-tracker-project-97,qwen3.7-max,,21,27,17960,273800,2987,84.2,22.4,106.8,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__hylang__hy-1456.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__hylang__hy-1456.trace.jsonl,hylang__hy-1456,qwen3.7-max,,66,65,39016,1552546,11333,347.4,16.2,364.6,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__ioos__erddapy-155.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__ioos__erddapy-155.trace.jsonl,ioos__erddapy-155,qwen3.7-max,,63,64,40180,1329871,11517,341.5,334.8,677.2,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__ipython__ipython-12144.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__ipython__ipython-12144.trace.jsonl,ipython__ipython-12144,qwen3.7-max,,50,52,27425,708738,8720,248.2,22.5,271.2,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__iterative__dvc-2866.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__iterative__dvc-2866.trace.jsonl,iterative__dvc-2866,qwen3.7-max,,89,98,73219,3407504,10951,657.7,88.0,747.3,>=64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__iterative__dvc-3405.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__iterative__dvc-3405.trace.jsonl,iterative__dvc-3405,qwen3.7-max,,72,71,38639,1396405,11344,370.1,58.4,429.3,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__iterative__dvc-3727.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__iterative__dvc-3727.trace.jsonl,iterative__dvc-3727,qwen3.7-max,,43,47,31468,835462,6893,242.3,35.7,278.4,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__iterative__dvc-4108.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__iterative__dvc-4108.trace.jsonl,iterative__dvc-4108,qwen3.7-max,,39,42,45038,1051152,10284,322.7,75.7,399.0,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__jamesoff__simplemonitor-539.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__jamesoff__simplemonitor-539.trace.jsonl,jamesoff__simplemonitor-539,qwen3.7-max,,61,71,54290,1755671,8627,315.3,28.3,344.7,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__janehmueller__python-json-config-3.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__janehmueller__python-json-config-3.trace.jsonl,janehmueller__python-json-config-3,qwen3.7-max,,16,15,6209,69409,1655,49.2,0.2,49.4,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__jaywink__federation-73.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__jaywink__federation-73.trace.jsonl,jaywink__federation-73,qwen3.7-max,,59,58,58251,1980480,17876,487.6,40.1,528.9,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__jboss-dockerfiles__dogen-107.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__jboss-dockerfiles__dogen-107.trace.jsonl,jboss-dockerfiles__dogen-107,qwen3.7-max,,31,34,31234,581797,4277,135.4,15.5,151.3,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__jd__tenacity-342.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__jd__tenacity-342.trace.jsonl,jd__tenacity-342,qwen3.7-max,,35,35,20410,371522,4799,143.9,22.7,166.8,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__joke2k__faker-1461.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__joke2k__faker-1461.trace.jsonl,joke2k__faker-1461,qwen3.7-max,,36,38,46251,1072462,22802,529.1,39.3,569.0,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__joke2k__faker-2007.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__joke2k__faker-2007.trace.jsonl,joke2k__faker-2007,qwen3.7-max,,31,30,19095,387589,3682,125.5,14.7,140.5,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__joshtemple__lkml-74.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__joshtemple__lkml-74.trace.jsonl,joshtemple__lkml-74,qwen3.7-max,,22,23,12591,180446,3389,93.9,40.7,134.7,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe277__jpadilla__pyjwt-657.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe277__jpadilla__pyjwt-657.trace.jsonl,jpadilla__pyjwt-657,qwen3.7-max,,30,32,22727,397058,5375,153.6,16.7,170.7,16-32K
